                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.6311,                 1.1153,                 1.7847,                0.82624,                  0.827,                0.89898,                0.44463,                 1.9304,                  1.055,                 2.1798,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.6149,                 1.0678,                 1.7535,                0.88623,                0.84672,                0.92522,                0.41586,                 2.1939,                 1.1215,                 2.3066,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.5713,                 1.0249,                 1.7117,                0.86622,                0.84463,                0.91536,                0.41358,                 2.0524,                 1.0979,                 2.2461,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.5404,                0.97536,                 1.6796,                 0.9047,                0.82547,                0.91443,                0.43483,                 1.9012,                 1.0985,                 2.2012,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.6228,                 1.0208,                 1.7216,                0.90663,                0.84442,                0.92864,                0.43353,                 2.0886,                0.95347,                 2.2632,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.6214,                  1.035,                 1.7791,                0.93691,                0.80435,                0.88467,                0.37283,                  2.275,                 1.0163,                 2.4078,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.6295,                 1.0313,                 1.7385,                0.93716,                0.78261,                0.92401,                0.41215,                 2.0215,                 1.0019,                 2.1959,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.6028,                 1.0106,                 1.7098,                0.91751,                0.78261,                0.91712,                0.44166,                 1.9309,                0.99132,                 2.2017,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.5572,                0.97928,                 1.7369,                0.95853,                0.86957,                0.91321,                0.44527,                 2.0273,                 1.0959,                 2.2075,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.4862,                 1.0398,                 1.6305,                 0.9457,                0.84783,                0.93461,                0.43533,                 2.1035,                  1.097,                 2.2611,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.5883,                 1.0044,                 1.7108,                0.90219,                0.91304,                0.95847,                0.44484,                 2.0596,                 1.0003,                 2.3409,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.5266,                 0.9736,                 1.6764,                0.88627,                0.84707,                0.91966,                0.42863,                 1.9638,                  1.083,                 2.1998,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.5039,                0.98979,                 1.6404,                0.92716,                 0.8913,                0.94052,                0.42399,                 2.1313,                0.97181,                 2.3275,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.5042,                0.94281,                 1.6457,                0.89065,                0.86957,                0.92305,                0.46283,                 2.0454,                 1.0159,                 2.2311,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.5328,                0.97487,                 1.7054,                0.84544,                0.91304,                0.94776,                0.43513,                 2.0325,                0.93872,                 2.2493,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.6477,                 1.0968,                 1.7171,                      1,                0.86257,                0.96612,                0.47938,                  1.967,                0.97149,                 2.1957,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.4412,                0.97273,                 1.6377,                0.92526,                 0.8913,                 0.9345,                 0.4571,                 1.9523,                0.89799,                 2.1593,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.6062,                 1.0744,                 1.6845,                0.91289,                0.91135,                0.96675,                0.45772,                 1.9705,                0.98008,                  2.139,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.4538,                0.92372,                 1.6278,                0.93786,                0.84783,                0.94489,                0.43289,                 2.0757,                 1.2263,                 2.2361,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.3926,                 0.8777,                 1.5662,                0.95351,                0.82609,                0.94551,                0.41765,                 2.0678,                 1.1253,                 2.2775,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.4177,                0.91811,                 1.6008,                0.90692,                0.93478,                0.96917,                0.45322,                  1.964,                0.93576,                 2.2021,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.4521,                 0.9218,                 1.5808,                 0.8706,                0.87768,                 0.9229,                0.44787,                 1.9915,                0.93915,                 2.2312,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.4409,                0.90634,                 1.6116,                0.93156,                 0.8913,                0.96101,                 0.4444,                 2.0472,                0.98183,                 2.2853,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.3504,                0.92357,                  1.533,                0.85164,                0.86957,                0.93693,                 0.4606,                 1.9515,                 1.0304,                 2.1799,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.4131,                0.88263,                 1.5836,                0.91038,                0.88343,                  0.952,                0.44926,                 2.0593,                0.96761,                 2.3106,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.4131,                0.88348,                 1.6085,                0.89491,                0.92569,                0.95858,                 0.4712,                 1.9053,                 0.8941,                 2.1068,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.3558,                0.87212,                 1.5639,                0.96695,                0.91304,                0.96545,                0.43628,                 2.0447,                0.93285,                 2.3244,             0.00024772,             0.00024772,             0.00024772
                     88,                  1.475,                0.92538,                 1.6382,                 0.9094,                0.86957,                 0.9543,                0.49021,                 1.9204,                0.87264,                 2.1746,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.4533,                0.89095,                 1.6333,                0.88952,                0.84783,                0.92263,                0.47688,                 1.9416,                0.85056,                 2.1638,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.3034,                 0.8241,                 1.5085,                0.95329,                0.88751,                 0.9507,                 0.4555,                 1.9351,                0.96182,                 2.1636,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.3868,                0.86444,                 1.5551,                0.93144,                0.88617,                0.94584,                  0.482,                 1.9176,                0.90505,                 2.1357,              0.0001817,              0.0001817,              0.0001817
                     92,                  1.411,                0.92277,                 1.6061,                0.94962,                0.82609,                0.93299,                0.47595,                  1.895,                0.92442,                 2.1466,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.3286,                0.83894,                 1.5191,                0.91852,                0.91304,                0.94762,                  0.474,                 1.9608,                0.85947,                 2.1401,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.3411,                0.81995,                  1.515,                0.90757,                0.91304,                0.93924,                0.47314,                 1.8903,                0.78926,                 2.1599,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.3872,                0.89302,                 1.5997,                0.93542,                0.86957,                0.94081,                0.48912,                 1.9426,                0.81744,                 2.1949,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.3242,                0.82423,                 1.5533,                 0.8736,                0.93478,                0.95711,                0.49771,                 1.9296,                0.84364,                 2.2064,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.3356,                0.85845,                 1.5306,                0.95093,                 0.8427,                0.94481,                0.48928,                 1.9448,                0.87837,                 2.2289,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.2892,                 0.8301,                  1.501,                  0.877,                 0.8913,                0.93887,                0.48488,                 1.9639,                0.84571,                 2.2284,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.2954,                0.82774,                 1.5044,                0.84566,                0.91304,                0.93808,                0.48581,                   1.96,                0.83415,                 2.2184,             4.9677e-05,             4.9677e-05,             4.9677e-05
